faculty,degree,curriculum,docx_id,pdf_id,chunk1_start,chunk1_end,chunk2_start,chunk2_end,chunk3_start,chunk3_end,chunk4_start,chunk4_end
คณะสหเวชศาสตร์,ตรี,วท.บ. สาขาวิชารังสีเทคนิค (ปรับปรุง 2565),1qBHt9miVdmMMmzE7VwfYFUrHS9hRygCf,13KoP59dI3TxSZzvPSCewxqLC0Qaj49kl,1,52,52.0,78.0,24.0,75.0,76,86
คณะสหเวชศาสตร์,ตรี,ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),1TpKT2DqmH9QxejyqElEHQniv4wdHgK75,1yVggfbQqAD2aM5dlX4YlWy7S-JtdBPuS,1,9,9.0,18.0,21.0,45.0,48,59
คณะสหเวชศาสตร์,ตรี,วท.บ. สาขาวิชาวิทยาศาสตร์การกีฬาและการออก กำลังกาย (ปรับปรุง 2566),1CVpRhA6ZnX7HVr7bmF-yITkusdqPqT5U,1d26xhXaoTemUfNQbxmQjyLkZW6_QV8I7,1,8,8.0,19.0,22.0,57.0,60,72
คณะสหเวชศาสตร์,ตรี,วท.บ. สาขาวิชากายภาพบำบัด (ปรับปรุง 2569),12gr9b0vo3rSpiCMyisaCf9NIrUPbhyBQ,1Z_0zWJQQCrjyEvivrt1lr4ys6FmfkMmO,1,11,11.0,16.0,18.0,36.0,50,64
คณะสหเวชศาสตร์,ตรี,ศศ.บ. สาขาวิชาการจัดการกีฬา (ปรับปรุง 2567),1G6cSp_Hl-7X_RW2sFN0YOUYQFA4VOyZr,1b6fLkpmLF7ZZI1QCUXzxQBUibnr4uWlF,1,8,8.0,16.0,21.0,42.0,44,56
คณะสหเวชศาสตร์,ตรี,เทคนิคการแพทยบัณฑิต (ปรับปรุง 2566),1qDM3IeA1gw7syB9ZGruZpwmaiwDe5RPX,1ICcbYgQ263h1BPdQNdWNfJ2-21HKh8kS,1,16,16.0,23.0,26.0,53.0,67,68
สถาบันเทคโนโลยีนานาชาติสิรินธร,ตรี,3. วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา (นานาชาติ) (ปรับปรุง 2566),1im1ja9qFKzdLt-10pzYHhdH7XK9G7hww,17v79HRclIGD6ISzARhtS0jVsZppkj8gF,1,8,8.0,15.0,19.0,45.0,47,61
สถาบันเทคโนโลยีนานาชาติสิรินธร,ตรี,5. วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี (นานาชาติ) (ปรับปรุง 2566),1P2g8q16Ty-BisyWXqCaTJL2ugzxDls_-,1JIlPsMDJuuDJandk1JGZIvWs8_5Okptn,1,9,9.0,16.0,20.0,44.0,47,62
สถาบันเทคโนโลยีนานาชาติสิรินธร,ตรี,4. วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล (นานาชาติ) (ปรับปรุง 2566),1UaQ3fbsES12f_YZh3SGAxH5BMTPKx1X6,1aFL98rRUYDDHNWnNTULl0jPJ-DgCLAYb,1,8,8.0,16.0,20.0,49.0,51,64
สถาบันเทคโนโลยีนานาชาติสิรินธร,ตรี,6. วิทยาศาสตรบัณฑิต สาขาวิชาการวิเคราะห์ธุรกิจและโซ่อุปทาน (นานาชาติ) (ปรับปรุง 2566),1HpyspLq5nmsyZuVVE7bxez9zrw6OUOkq,14WjEukTfKU6sjxke4FpBFvgJ9XPh72FW,1,9,9.0,20.0,26.0,68.0,70,85
สถาบันเทคโนโลยีนานาชาติสิรินธร,ตรี,1. วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า (นานาชาติ) (ปรับปรุง 2566),1Qk-nsXnN9SIIliNeU5v4ygRJQ-ub6Sh8,1k0IEMIhSK1aQnT9rj_AM838F8kM6YqZd,1,9,9.0,19.0,26.0,58.0,60,75
สถาบันเทคโนโลยีนานาชาติสิรินธร,ตรี,7. วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (นานาชาติ) (ปรับปรุง 2566),1-U6tTKeBIQYeXzRPSIu1hkP9rqM4Xa_8,1ccSbtCjWBBosIWdDG_Ml-SWAc_3oc1AA,1,11,11.0,21.0,27.0,56.0,58,75
สถาบันเทคโนโลยีนานาชาติสิรินธร,ตรี,8. วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมดิจิทัล (นานาชาติ) (ปรับปรุง 2566),10iBc91SZF7VGHV9tOgykX_kiq4vhT8L7,1nm7PwMewbZf0wT99jUkU9uzMt6To1Q7D,1,10,10.0,19.0,30.0,61.0,63,77
