eng_abv,eng_name,eng_desc,valid1,label1,confident1,derived_eng_desc1
SI503,Seminar in Field Visits,"Focus on analysis and synthesis of learning experiences derived from studying concepts, theories, principles, as well as anticipating problems and solutions while working in the organization. Develop teamwork and creative skills for professional presentations.",1,00 Generic programmes and qualifications,0.7,"Focuses on analyzing field visit experiences, problem-solving in organizations, and developing general professional skills."
PCD494,Senior Thesis in Innovations for Human and Social Development,Present final report on senior project or creation.,1,00 Generic programmes and qualifications,0.7,"Focuses on presenting a senior project/creation, which is a general academic skill, fitting generic programmes."
MR491,Research Method,"Provide a guide to basic research methods in materials science, data investigation for research, proposal preparation, research planning, research report writing and research presentation.",1,00 Generic programmes and qualifications,0.7,"Focuses on general research methods, proposal writing, and data analysis, applicable across fields."
IPI476,Seminar on Specific Topics in Social Sciences and Humanities 1,"Studies, analyses and discussions on specific topics in social sciences and/or humanities, depending on the agreement between lecturers and students; survey of knowledge and related theories",1,00 Generic programmes and qualifications,0.7,"Seminar on specific, undefined topics within social sciences and humanities."
IPI477,Seminar on Specific Topics in Social Sciences and Humanities 1,"Studies, analyses and discussions on specific topics in social sciences and/or humanities, depending on the agreement between lecturers and students; survey of knowledge and related theories",1,00 Generic programmes and qualifications,0.7,"Seminar on specific, undefined topics within social sciences and humanities."
IP498,Seminar on Specific Topics in Social Sciences and Humanities,"Studies, analyses and discussions on specific topics in social sciences and/or humanities, depending on the agreement between lecturers and students; survey of knowledge and related theories.",1,00 Generic programmes and qualifications,0.7,"Seminar on specific, undefined topics within social sciences and humanities."
GS101,Academic Writing and Presenting for Global Studies,"Academic writing and presentation are important specialized skills of higher education. This course is divided into two parts. In the first half of the semester, students will learn principles and requirements for conveying ideas through different writing styles, including practice through academic writing, length 500-1,500 words. In the second half of the semester, students will learn principles and techniques for transferring global studies knowledge through public speaking, including practice in presenting academic work through simulated classroom situations both individually and in groups.",1,00 Generic programmes and qualifications,0.8,"Teaches generic academic writing and presentation skills, applicable across various fields, fitting generic programmes."
BS200,Presentation Strategies,An introduction to the process and tactics for professional presentations.,1,00 Generic programmes and qualifications,0.8,Introduces strategies and tactics for effective professional presentations and communication.
TU106,Creativity and Communication,"Creative thought processes, with critical thinking as an important part, as well as communication of these thoughts that lead to suitable results in social, cultural and environmental contexts, at personal, organisational and social levels.",1,00 Generic programmes and qualifications,0.8,"Develops creative thought processes, critical thinking, and communication skills for various social, cultural, and environmental contexts."
CNC101,Critical Thinking and Systematic Problem Solving,Critical thinking. Question asking. Logic. Cognitive biases. Assumption making. Reasoning. Logical and statistical fallacies. Propaganda. Problem solving process. Analytical thinking. Information gathering. Data interpretation. Decision making. Communication and persuasion. Practical exercises for cybersecurity-related problems.,1,00 Generic programmes and qualifications,0.8,"Develops critical thinking, systematic problem-solving, logic, reasoning, data interpretation, and decision-making skills, with cybersecurity applications."
HPW331,Intuitive Development and Inner Growth,"Deep self-development practices encompassing physical, emotional, mental, energetic, and spiritual dimensions to achieve inner tranquility and stability; techniques for managing sensitive emotions and experiences; expanding the ability to love and respect oneself and others; self- reflection and foundational self- healing practices for daily life integration.",1,00 Generic programmes and qualifications,0.8,"Focuses on broad self-development, emotional management, and inner growth practices for personal skills."
DBT243,Field Trip,Field trip in conducting an analysis study of design concepts and their impacts to quality of life. Some preliminary reading prior to the field trip will be included. Assessment criteria: S (Satisfactory) or U (Unsatisfactory),1,00 Generic programmes and qualifications,0.8,"Broad field trip for design concept analysis and quality of life, lacking a specific field emphasis."
AP167,Design and Innovation,"Fundamental capabilities in design thinking process used for creative problem-solving, emphasizing on the executing experiment to enable innovation",1,00 Generic programmes and qualifications,0.8,"Focuses on fundamental design thinking and creative problem-solving for innovation, a broad general skill."
HPW310,Basic Coaching for Human Potential Development,Fundamental concepts and principles of coaching; coaching process; key coaching skills; applying coaching in human potential development; coaching ethics.,1,00 Generic programmes and qualifications,0.8,"Focuses on fundamental coaching concepts and skills for human potential development, a general personal skill."
HPW205,Facilitation Skills for Human Potential Development,"Fundamental concepts in learning facilitation; facilitator qualities; basic facilitation skills including communication skills, listening skills, capturing key points, and questioning; creating a safe space and trust; facilitator's inner stability; designing learning for enhancing human potential and inner quality.",1,00 Generic programmes and qualifications,0.8,"Focuses on fundamental facilitation skills for human potential development and learning, a general personal skill."
BEB497,Cooperative Education II,"On the job training as a temporary employee according to the assigned project including integration in science, possibility of economic and environmental effect. Report writing and presentation for evaluation from advisor, supervision of the assigened person and committees.",1,00 Generic programmes and qualifications,0.8,"Provides generic on-the-job training as a temporary employee, focusing on practical experience and report writing."
FSD323,Portfolio Presentation,"Practicing portfolio presentation for furthering study and job application. Designing format, lay out, and presentation. Presenting strengths and creativities. Developing identical presentation.",1,00 Generic programmes and qualifications,0.8,"Focuses on general presentation and portfolio skills for career development, fitting generic programmes."
DSI381,Pre-Cooperative Education,"Preparing students skills for work, application and resume writing, interview, critical thinking, searching techniques, participating in data science teams, presentation, and organization communication.",1,00 Generic programmes and qualifications,0.8,"Prepares students with general work skills like resume writing, interviewing, and communication, fitting generic programmes."
CS301,Preparation for Senior Projects and Co-operative Education,"Preparing students technical professional skills, application and resume writing, interview, critical thinking, searching techniques, teamwork, collaboration in software development teams, professional report writing, academic writing styles, citation and bibliography, presentation techniques, and organization communication.",1,00 Generic programmes and qualifications,0.8,"Prepares students with general professional skills, report writing, and presentation techniques, fitting generic programmes."
LSE203,Innovative Thinking and Design,"Principles, processes, and tools of design thinking; application of design thinking for situation analysis and learning innovation project development; principles of innovation development; paradigms of innovation development; a proposal development towards learning innovation project.",1,00 Generic programmes and qualifications,0.8,"Explores principles, processes, and tools of design thinking and innovation development for various projects."
