curriculum,course_type,th_abv,eng_abv,th_name,eng_name,credit,lect_hours,practice_hours,self_hours,th_desc,eng_desc,prerequisite
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,มธ.233,TU233,โอกาสทางธุรกิจในไทย,Business Opportunities in Thailand,3,3,0,6,สภาพแวดล้อมทางธุรกิจ พฤติกรรมผู้บริโภคในยุคดิจิทัล วัฒนธรรมและประวิติศาสตร์ กฎหมายธุรกิจ แนวทางการบริหารธุรกิจ และเทรนด์ธุรกิจเกิดใหม่ของประเทศไทย,"Business landscape, consumer behavior, culture and history, business laws, business management, and emerging business trends in Thailand.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,มธ.311,TU311,บริการทางวิชาชีพแก่สังคม,Professional Services to Society,3,3,0,6,การนำองค์ความรู้ทางวิชาชีพเฉพาะด้านที่ศึกษามาไปให้บริการแก่สังคม โดยการออกแบบและจัดทำโครงงานร่วมกับชุมชน บุคลากร/หน่วยงานที่เกี่ยวข้อง ภายใต้การนิเทศก์อย่างใกล้ชิดของอาจารย์ที่ได้รับมอบหมาย มุ่งเน้นการทำงานร่วมกันจากผู้ที่ศึกษาในวิชาชีพด้านเดียวกัน,"Application of specialist professional know-how gained through study to the service of society. This is done via designing and carrying out projects involving communities and related people and organisations, under the close supervision of an academic advisor. The focus is on collaboration among learners of the same profession.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,วสห.105,CIS105,ปลูกฝังความคิดและทักษะผู้ประกอบการ,Cultivating Entrepreneurial mindset and skills,3,3,0,6,ความเป็นผู้ประกอบการในหน่วยงานภาครัฐและเอกชน การใช้ความคิดแบบผู้ประกอบการเพื่อแสวงหาโอกาสและสร้างคุณค่าให้แก่ตนเอง ทีม และองค์กร ทักษะสำหรับการวางแผนธุรกิจใหม่,"Entrepreneurship in public and private sector organization. Using entrepreneurial mindset to search opportunities and create value in both yourself, your team, and your organization. Practical skills for new venture planning",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,มธ.106,TU106,ความคิดสร้างสรรค์และการสื่อสาร,Creativity and Communication,3,3,0,6,กระบวนการคิดอย่างสร้างสรรค์ โดยมีการคิดเชิงวิพากษ์เป็นองค์ประกอบสำคัญ และการสื่อสารความคิดดังกล่าวให้เกิดผลสัมฤทธิ์อย่างเหมาะสมตามบริบทสังคม วัฒนธรรม สภาพแวดล้อม ทั้งในระดับบุคคล องค์กร และสังคม,"Creative thought processes, with critical thinking as an important part, as well as communication of these thoughts that lead to suitable results in social, cultural and environmental contexts, at personal, organisational and social levels.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,วสห.113,CIS113,ภาษาอังกฤษเพื่อการประกอบอาชีพ,English for Careers,3,3,0,6,โครงสร้าง ศัพท์ สำนวนภาษาอังกฤษเพื่อการสื่อสารในสำนักงานและการติดต่อธุรกิจ,"The structure, vocabulary and language functions used for communication in office and business transactions.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,สษ.105,EL105,ทักษะการสื่อสารทางภาษาอังกฤษ,English Communication Skills,3,3,0,6,พัฒนาทักษะการสื่อสารทางภาษาอังกฤษด้านการฟัง พูด อ่าน และเขียน ฝึกการใช้ภาษา คำศัพท์ และสำนวนในบริบททางวิชาการและสังคม,"Development of English communication skills, including listening, speaking, reading and writing. Practice of language, vocabulary and expressions used in academic and social contexts.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,สผ.167,AP167,การออกแบบและนวัตกรรม,Design and Innovation,3,3,0,6,ความสามารถพื้นฐานในกระบวนการคิดเชิงออกแบบที่ใช้สำหรับการแก้ปัญหาอย่างสร้างสรรค์ เน้นการเรียนรู้ผ่านการลงมือปฏิบัติสู่การสร้างนวัตกรรม,"Fundamental capabilities in design thinking process used for creative problem-solving, emphasizing on the executing experiment to enable innovation",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,มธ.103,TU103,ชีวิตกับความยั่งยืน,Life and Sustainability,3,3,0,6,การดำเนินชีวิตอย่างเท่าทันกับการเปลี่ยนแปลงของโลก เข้าใจความสัมพันธ์ระหว่างพลวัต ของธรรมชาติ มนุษย์ และสรรพสิ่ง ทั้งสิ่งแวดล้อมสรรสร้าง การใช้พลังงาน เศรษฐกิจ สังคมในความขัดแย้งและการแปรเปลี่ยน ตลอดจนองค์ความรู้ทางวิทยาศาสตร์สิ่งแวดล้อม ที่นำไปสู่การปรับเปลี่ยนวิถีชีวิตสู่ความยั่งยืน,"This course provides an introduction to the importance of life-cycle systems perspectives in understanding major challenges and solutions to achieving more sustainable societies in this changing world. Students will learn about the relationship between mankind and the environment in the context of energy and resource use, consumption and development, and environmental constraints. Furthermore, an examination of social conflict and change from the life-cycle perspective will be used to develop an understanding of potential solution pathways for sustainable lifestyle modifications.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,มธ.107,TU107,ทักษะดิจิทัลกับการแก้ปัญหา,Digital Skill and Problem Solving,3,3,0,6,ทักษะการคิดเชิงคำนวณเพื่อการแก้ปัญหาและการพัฒนาโอกาสใหม่ด้านสังคมและเศรษฐกิจ ความสามารถในค้นหาและการเข้าถึงสารสนเทศได้อย่างมีประสิทธิภาพ การประเมินความน่าเชื่อถือของสารสนเทศ การกลั่นกรองและจัดการสารสนเทศอย่างเป็นระบบ การใช้และจรรยาบรรณด้านดิจิทัล การสื่อสารออนไลน์อย่างมืออาชีพ,Basic computational thinking skill for solving problems and developing new social and economic opportunities. Efficient access and search for information. Information reliability evaluation. Filtering and managing information systematically. Ethical digital usage and professional online communication.,
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,วซ.101,SF101,พื้นฐานคอมพิวเตอร์และเทคโนโลยีสารสนเทศ,Fundamentals of computer and information technology,3,3,0,6,หลักการทำงานและองค์ประกอบของระบบคอมพิวเตอร์ หลักการเบื้องต้นของการสื่อสารข้อมูลและเครือข่ายคอมพิวเตอร์ เทคโนโลยีการรับส่งข้อมูลภายในเครือข่ายคอมพิวเตอร์ ระบบอินทราเน็ต ระบบอินเทอร์เน็ต เทคโนโลยีคลาวด์ ระบบความปลอดภัยบนคอมพิวเตอร์และระบบเครือข่าย จริยธรรมในการใช้งานคอมพิวเตอร์และระบบสารสนเทศ,"Principle of computer operation and its components, Basic concepts of data communication and computer network, Data communication technology in a computer network, Intranet, Internet, Cloud technology, Security system on computer and network, Ethic for computer and information technology users.",
