Table Names,curriculum,type_plo,num_plo,detail_plo
db314 - add plo.csv,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),K,1,สามารถบูรณาการความรู้ทางวิทยาศาศาสดร์การแพทย์ในการวิเคราะห์ข้อมูล วิจัย และน่าเสนอข้อมูลได้
db314 - add plo.csv,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),K,2,มีความรู้อย่างกว้างขวางในหลักการและทฤษฎีองค์ความรู้ที่เกี่ยวข้องกับวิชาชีพเทคโนโลยีหัวใจ และทรวงอก
db314 - add plo.csv,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),S,1,สามารถเตรียมและใช้อุปกรณ์หรือเครื่องมือที่ เกี่ยวข้องกับวิชาชีพเทคโนโลยีหัวใจและทรวงอก ได้อย่างเหมาะสม
db314 - add plo.csv,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),S,2,สามารถอ่านผลหรือแปลผลการตรวจโรคหัวใจ และทรวงอกเบื้องต้นจากเครื่องมือที่เกี่ยวข้องกับ วิชาชีพเทคโนโลยีหัวใจและทรวงอก
db314 - add plo.csv,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),S,3,สามารถวิเคราะห์ปัญหา ประเมินทางเลือก เสนอ แนะวิธีการแก่ไขปัญหาและการตัดสินใจได้อย่างเหมาะสม
db314 - add plo.csv,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),S,4,ความคิดริเริ่มอย่างสร้างสรรค์ และมีความคิดในเชิงบวก ติดตามการเปลี่ยนแปลงเพื่อพัฒนาดนเองอย่างต่อเนื่อง
db314 - add plo.csv,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),S,5,มีทักษะด้านการสือสารทั่งไทยและภาษาอังกฤษที่ดี และทักษะการใช้เทคโนโลยีดิจิทัล
db314 - add plo.csv,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),E,1,แสดงออกถึงคุณธรรมจริยธรรมที่เหมาะสมต่อวิชาชีพ
db314 - add plo.csv,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),E,2,แสดงออกถึงความช็อสัตย์สุจริตต่อดนเองและวิชาชีพเป็นที่ไว้วางใจของ ผู้ป่วยและสังคม
db314 - add plo.csv,วท.บ.เทคโนโลยีหัวใจและทรวงอก(นานาชาติ-ปรับปรุง66)-กมอ.1-68(8ม.ค.68),E,3,เคารพในสิทธิของผู้ป่วย โดยการให้ความจริงรักษาความลับและค่านึงถึงประโยชน์และความปลอดภัยของผู้ป่วยเป็นสำคัญ
