curriculum,qualification_responsible_position,name_responsible,degree_reponsible,program_responsible,institute_responsible,year_graduate_responsible
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),ผู้ช่วยศาสตราจารย์ ดร.,วิชัย ยีมิน,ปร.ด.,วิทยาศาสตร์การกีฬา,มหาวิทยาลัยเกษตรศาสตร์,2559
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),ผู้ช่วยศาสตราจารย์ ดร.,วิชัย ยีมิน,วท.ม.,วิทยาศาสตร์การกีฬา,มหาวิทยาลัยเกษตรศาสตร์,2554
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),ผู้ช่วยศาสตราจารย์ ดร.,วิชัย ยีมิน,วท.บ.,วิทยาศาสตร์การกีฬา,สถาบันการพลศึกษา (มหาวิทยาลัยราชภัฏกาญจนบุรี),2551
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),รองศาสตราจารย์ ดร.,อภิลักษณ์ เทียนทอง,ปร.ด.,วิทยาศาสตร์การกีฬาวิทยาศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,2555
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),รองศาสตราจารย์ ดร.,อภิลักษณ์ เทียนทอง,วท.ม.,การกีฬา,มหาวิทยาลัยเกษตรศาสตร์,2541
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),รองศาสตราจารย์ ดร.,อภิลักษณ์ เทียนทอง,ศศ.บ.,พลศึกษา,มหาวิทยาลัยเกษตรศาสตร์,2539
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),อาจารย์,พิริยะ สุวรรณดิษฐ์,วท.ม.,เวชศาสตร์การกีฬา,จุฬาลงกรณ์มหาวิทยาลัย,2554
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),อาจารย์,พิริยะ สุวรรณดิษฐ์,วท.บ.,วิทยาศาสตร์การกีฬา,จุฬาลงกรณ์มหาวิทยาลัย,2548
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),ผู้ช่วยศาสตราจารย์ ดร.,สันทณี เครือขอน,ปร.ด.,วิทยาศาสตร์การแพทย์,มหาวิทยาลัยธรรมศาสตร์,2553
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),ผู้ช่วยศาสตราจารย์ ดร.,สันทณี เครือขอน,วท.ม.,กายภาพบำบัด,มหาวิทยาลัยมหิดล,2544
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),ผู้ช่วยศาสตราจารย์ ดร.,สันทณี เครือขอน,วท.บ.,กายภาพบำบัด,มหาวิทยาลัยมหิดล,2541
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),อาจารย์,ณัฐพล ผิวขำ,วท.ม.,วิทยาศาสตร์การกีฬา,มหาวิทยาลัยมหิดล,2559
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),อาจารย์,ณัฐพล ผิวขำ,วท.บ.,วิทยาศาสตร์การกีฬา,มหาวิทยาลัยมหิดล,2556
วท.บ. สาขาวิชาวิทยาศาสตร์การกีฬาและการออก กำลังกาย (ปรับปรุง 2566),ผู้ช่วยศาสตราจารย์,สุพัชริน เขมรัตน์,ปร.ด.,วิทยาศาสตร์การออกกำลังกายและกีฬา,มหาวิทยาลัยบูรพา,2551
วท.บ. สาขาวิชาวิทยาศาสตร์การกีฬาและการออก กำลังกาย (ปรับปรุง 2566),ผู้ช่วยศาสตราจารย์,สุพัชริน เขมรัตน์,วท.ม.,วิทยาศาสตร์การกีฬา,มหาวิทยาลัยเกษตรศาสตร์,2547
วท.บ. สาขาวิชาวิทยาศาสตร์การกีฬาและการออก กำลังกาย (ปรับปรุง 2566),ผู้ช่วยศาสตราจารย์,สุพัชริน เขมรัตน์,พย.บ.,พยาบาล,มหาวิทยาลัยมหิดล,2544
